                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                  1.913,                 4.3655,                0.98857,                0.01048,                0.36652,                0.00976,                0.00443,                 1.2772,                 4.2252,                0.81802,              8.574e-05,              8.574e-05,              8.574e-05
                      2,                 1.4993,                 3.2582,                0.83421,                0.00338,                0.11268,                0.07616,                0.03325,                 1.0979,                 3.9225,                0.78779,             0.00018393,             0.00018393,             0.00018393
                      3,                 1.0481,                 1.8368,                0.80028,                0.00236,                0.07696,                 0.0066,                0.00469,                0.96066,                 3.6512,                0.77636,             0.00028014,             0.00028014,             0.00028014
                      4,                 1.0631,                 1.9056,                0.80925,                0.01822,                0.66597,                0.01576,                0.01134,                0.93859,                 3.5034,                0.78298,             0.00037437,             0.00037437,             0.00037437
                      5,                 1.0419,                 1.4332,                0.80492,                 0.0267,                0.95583,                0.33082,                0.25422,                0.90013,                 3.2141,                0.78678,             0.00046662,             0.00046662,             0.00046662
                      6,                 1.0292,                 1.2668,                0.80556,                0.02753,                0.99346,                0.71422,                0.52864,                0.99026,                 3.0081,                0.79487,             0.00055689,             0.00055689,             0.00055689
                      7,                0.99379,                 1.1464,                0.80313,                0.02717,                0.99346,                0.87168,                0.65869,                0.94537,                 2.8201,                0.80263,             0.00064518,             0.00064518,             0.00064518
                      8,                 0.9323,                  1.073,                0.81266,                0.02712,                0.99346,                0.88734,                0.65168,                0.98267,                 2.8289,                 0.8024,             0.00073148,             0.00073148,             0.00073148
                      9,                 1.0142,                0.91954,                0.80849,                 0.7454,                0.90002,                0.88798,                0.66636,                0.90865,                 2.4528,                0.80276,             0.00081581,             0.00081581,             0.00081581
                     10,                 1.0135,                 1.0361,                0.80397,                0.90995,                0.51924,                 0.8899,                0.67884,                0.87303,                 2.4105,                0.80067,             0.00089816,             0.00089816,             0.00089816
                     11,                0.88007,                0.76961,                0.80628,                 0.9179,                0.36362,                 0.9301,                 0.7144,                0.83827,                 2.1694,                  0.805,             0.00097852,             0.00097852,             0.00097852
                     12,                 0.8417,                0.77434,                0.81281,                0.93986,                0.72184,                0.94937,                0.73635,                0.87399,                 1.8665,                0.80188,              0.0010569,              0.0010569,              0.0010569
                     13,                0.90612,                0.74987,                0.80017,                 0.9455,                0.91802,                0.95141,                0.71795,                0.92794,                 1.6977,                0.80476,              0.0011333,              0.0011333,              0.0011333
                     14,                0.98615,                0.73456,                0.79939,                0.94557,                0.97011,                0.95118,                0.71907,                0.95852,                 1.4687,                0.80528,              0.0012077,              0.0012077,              0.0012077
                     15,                0.96336,                0.72576,                0.82307,                0.92882,                0.96722,                0.94767,                0.73652,                0.87959,                 1.3572,                0.80232,              0.0012309,              0.0012309,              0.0012309
