                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                   2.61,                 4.7309,                 1.1371,                0.00066,                0.04023,                0.00044,                0.00025,                 1.0658,                 4.1715,                0.83971,              8.574e-05,              8.574e-05,              8.574e-05
                      2,                 1.5148,                 3.7881,                0.84444,                0.00015,                0.00469,                  7e-05,                  4e-05,                 1.1639,                 3.8318,                0.79585,             0.00018209,             0.00018209,             0.00018209
                      3,                 1.1759,                 2.1347,                0.81268,                0.01278,                0.43983,                0.14554,                0.08527,                 1.0858,                 3.5948,                0.78545,             0.00027448,             0.00027448,             0.00027448
                      4,                 1.0611,                 1.5391,                0.79829,                0.02507,                0.90388,                0.04484,                 0.0318,                0.97216,                 3.4014,                0.79176,             0.00036291,             0.00036291,             0.00036291
                      5,                 1.0291,                 1.4364,                0.81364,                0.02722,                0.98118,                0.26158,                0.19356,                0.96612,                 3.2359,                0.79284,             0.00044738,             0.00044738,             0.00044738
                      6,                0.96456,                 1.2438,                0.79231,                0.02722,                0.98772,                0.71256,                0.53395,                0.98147,                 2.8381,                0.79825,             0.00052789,             0.00052789,             0.00052789
                      7,                0.92491,                 1.2432,                0.80359,                0.02722,                0.98772,                0.77364,                0.60497,                0.87186,                 2.4914,                0.79369,             0.00060443,             0.00060443,             0.00060443
                      8,                0.94266,                 1.0769,                0.80572,                0.02736,                0.98772,                0.83452,                0.61883,                0.93989,                 2.4369,                0.79523,             0.00067702,             0.00067702,             0.00067702
                      9,                0.96497,                0.96584,                0.80668,                0.86293,                0.93221,                0.91997,                0.70212,                0.87823,                 2.2003,                0.80022,             0.00074564,             0.00074564,             0.00074564
                     10,                0.95446,                0.96104,                0.81583,                      1,                0.35094,                0.95241,                0.72382,                0.84756,                 2.1301,                0.80093,              0.0008103,              0.0008103,              0.0008103
                     11,                0.91654,                0.89329,                0.80849,                0.93638,                0.85062,                0.95581,                0.70436,                0.90074,                 2.1775,                0.79972,               0.000871,               0.000871,               0.000871
                     12,                0.93973,                0.82266,                  0.799,                0.93259,                0.83883,                 0.9461,                0.73332,                0.87301,                 1.7575,                0.80137,             0.00092774,             0.00092774,             0.00092774
                     13,                0.87884,                0.75756,                0.81146,                0.93144,                0.91542,                0.94759,                0.73108,                0.82074,                  1.666,                0.79844,             0.00098052,             0.00098052,             0.00098052
                     14,                0.87522,                0.72228,                0.81392,                0.92081,                0.93878,                0.95304,                0.70586,                 0.9337,                 1.5371,                 0.8055,              0.0010293,              0.0010293,              0.0010293
                     15,                 0.9665,                0.77384,                0.80186,                0.92358,                0.89532,                0.95032,                0.69039,                 0.9209,                 1.5561,                0.80457,              0.0010329,              0.0010329,              0.0010329
                     16,                0.84837,                 4.2179,                0.69939,                0.91326,                0.72415,                0.94912,                0.72453,                0.83626,                  1.628,                0.79884,              0.0010329,              0.0010329,              0.0010329
                     17,                0.78691,                0.99834,                0.81031,                0.91974,                0.81237,                0.93746,                0.70415,                0.91977,                 1.3448,                0.80459,              0.0010046,              0.0010046,              0.0010046
                     18,                0.93563,                0.78425,                0.80652,                0.91366,                0.96899,                0.93448,                0.69778,                 0.9099,                0.77636,                0.80376,             0.00097629,             0.00097629,             0.00097629
                     19,                0.83873,                0.75244,                0.80699,                0.91466,                0.97992,                0.94593,                 0.7244,                0.84498,                0.79628,                0.79951,               0.000948,               0.000948,               0.000948
                     20,                0.87728,                0.82188,                 0.7934,                0.94944,                0.96773,                0.95474,                0.75087,                0.82741,                0.70401,                0.79375,              0.0009197,              0.0009197,              0.0009197
                     21,                0.78716,                0.70041,                0.79294,                0.95059,                0.97465,                0.95489,                0.73195,                0.82631,                0.63992,                0.79177,             0.00089141,             0.00089141,             0.00089141
                     22,                0.86756,                0.86872,                0.78672,                 0.9241,                0.97857,                0.95535,                0.73811,                0.82709,                0.65051,                0.79079,             0.00086312,             0.00086312,             0.00086312
                     23,                0.82083,                0.73895,                0.79009,                0.91791,                0.97465,                0.95492,                0.74098,                 0.8671,                0.63336,                0.79747,             0.00083482,             0.00083482,             0.00083482
                     24,                0.80138,                0.68775,                0.80942,                0.91978,                0.98469,                0.95357,                0.75169,                0.79859,                0.67249,                0.79447,             0.00080653,             0.00080653,             0.00080653
                     25,                0.80739,                0.74215,                0.80026,                0.93485,                0.96534,                0.95571,                 0.7737,                 0.7527,                0.64302,                0.79236,             0.00077823,             0.00077823,             0.00077823
                     26,                0.76481,                0.61347,                0.79527,                0.92508,                0.98593,                0.95818,                0.76699,                0.73946,                0.60314,                0.78857,             0.00074994,             0.00074994,             0.00074994
                     27,                  0.759,                 0.6212,                0.79228,                0.91714,                0.98693,                0.95719,                0.76557,                0.74279,                0.58715,                0.78694,             0.00072164,             0.00072164,             0.00072164
                     28,                0.74026,                0.61611,                0.78434,                0.91412,                0.98693,                0.96082,                0.77052,                0.69729,                0.58308,                0.78773,             0.00069335,             0.00069335,             0.00069335
                     29,                0.75546,                0.63249,                 0.7919,                0.91814,                0.98204,                0.96534,                0.77783,                0.71172,                0.58624,                0.78931,             0.00066506,             0.00066506,             0.00066506
                     30,                0.71921,                0.59484,                 0.7957,                0.92915,                0.98039,                0.96575,                0.77095,                0.74887,                0.57913,                0.79153,             0.00063676,             0.00063676,             0.00063676
                     31,                0.70448,                0.56899,                0.79514,                0.93495,                0.98039,                0.96433,                0.78293,                0.71453,                0.52925,                0.78626,             0.00060847,             0.00060847,             0.00060847
                     32,                0.79748,                0.65124,                0.79033,                0.92687,                0.98039,                0.96091,                0.77408,                0.75576,                0.52166,                 0.7825,             0.00058017,             0.00058017,             0.00058017
                     33,                 0.5951,                 3.3809,                0.67629,                0.92453,                0.98133,                0.96402,                0.77203,                0.72785,                0.51493,                0.78129,             0.00055188,             0.00055188,             0.00055188
                     34,                0.71268,                0.64259,                0.79237,                0.91972,                0.98693,                0.95909,                0.78276,                0.68412,                0.51015,                0.78036,             0.00052359,             0.00052359,             0.00052359
                     35,                0.66321,                0.55657,                0.79294,                0.92026,                0.98693,                0.95471,                0.77719,                0.70107,                0.52198,                0.78032,             0.00049529,             0.00049529,             0.00049529
