epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,21.5111,1.37227,4.00502,1.14455,0.00052,0.03448,0.00029,8e-05,0.78729,3.79374,0.92094,4.287e-05,4.287e-05,4.287e-05
2,42.2963,0.85842,3.51482,0.93564,0.00038,0.02075,0.00054,0.00033,0.79476,3.67073,0.86799,9.80494e-05,9.80494e-05,9.80494e-05
3,62.7557,0.84197,2.89618,0.87619,0.003,0.16826,0.03109,0.02252,0.81404,3.57861,0.88503,0.000150965,0.000150965,0.000150965
4,81.3627,0.66781,2.5146,0.86664,0.01585,0.88506,0.59333,0.43399,0.81485,3.32748,0.89041,0.000201618,0.000201618,0.000201618
5,99.7541,0.71678,1.46035,0.84451,0.01667,0.95402,0.68504,0.50019,0.80358,3.17486,0.88344,0.000250006,0.000250006,0.000250006
6,125.261,0.67064,1.43698,0.83999,0.01718,0.98851,0.71944,0.54153,0.75743,3.07216,0.8571,0.000296132,0.000296132,0.000296132
7,148.646,0.58176,1.08608,0.81628,0.01736,1,0.76527,0.58185,0.74611,3.04254,0.84264,0.000339993,0.000339993,0.000339993
8,169.732,0.60098,0.96618,0.83516,0.01717,0.98851,0.7871,0.59925,0.7549,2.95435,0.84203,0.000381592,0.000381592,0.000381592
9,191.988,0.57697,1.03063,0.85207,0.01718,0.98851,0.81549,0.58036,0.73872,2.83467,0.84218,0.000420926,0.000420926,0.000420926
10,212.853,0.56304,0.88419,0.84683,0.01737,1,0.85435,0.66267,0.69908,2.76857,0.84881,0.000457997,0.000457997,0.000457997
11,231.986,0.5648,0.84492,0.84049,0.0172,0.98851,0.85749,0.68108,0.7084,2.76801,0.85838,0.000492805,0.000492805,0.000492805
12,252.794,0.54872,0.74103,0.8546,1,0.43982,0.87098,0.68751,0.66465,2.71921,0.85975,0.000525349,0.000525349,0.000525349
13,272.645,0.5463,0.72277,0.86297,1,0.22628,0.90654,0.70719,0.70046,2.69024,0.87477,0.000555629,0.000555629,0.000555629
14,291.068,0.53849,0.68794,0.84341,1,0.23824,0.84868,0.66602,0.69649,2.65271,0.87391,0.000583646,0.000583646,0.000583646
15,308.884,0.52968,0.84978,0.86457,0.99634,0.66667,0.82905,0.6717,0.67438,2.61468,0.86837,0.0006094,0.0006094,0.0006094
